Sanskrit (IAST),Translation,Description
Manuṣya,Human,A mortal human being; member of mankind.
Deva,Deity,Divine celestial being; god or goddess.
Gandharva,Celestial Musician,Heavenly musician in the service of the gods.
Apsaras,Celestial Dancer,Beautiful female spirit known for dance and charm.
Yakṣa,Nature-Spirit,Guardian spirit of natural treasures.
Kiṁnara,Mythical Being,"Semi-divine beings, often depicted as part-horse or part-bird."
Rākṣasa,Demon,Malevolent being or man-eater from myth.
Asura,Anti-god / Titan,Powerful beings opposed to the gods.
Vānara,Monkey-being,Mythical monkey-like humanoid.
Bhallūka,Bear,"A bear, often found in epic tales."
Gṛdhra,Vulture,Scavenger bird; symbol of death or war.
Ṛkṣa,Bear,"Alternative term for bear, also a constellation."
Garuḍa,Divine Eagle,"Mythical eagle, vehicle of Vishnu."
Nāga,Serpent-being,Semi-divine serpent race.
Svarga,Heaven,Abode of the gods; celestial paradise.
Naraka,Underworld / Hell,Realm of punishment after death.
Nadī,River,Flowing body of freshwater.
Sāgara,Sea,Vast saltwater body.
Sarovara,Lake,Large inland water body.
Kūpa,Well,Man-made water source.
Tīra,Riverbank,Edge or shore of a river.
Dvīpa,Island,Land surrounded by water.
Parvata,Mountain,Large natural elevation of earth.
Nagara,City,Urban settlement or metropolis.
Tīrtha,Sacred Place,"Holy pilgrimage spot, often near water."
Grāma,Village,Small rural settlement.
Rājya,Kingdom,Territory ruled by a king.
Vana,Forest,Dense growth of trees; wilderness.
Udyāna,Garden,Cultivated green space.
Marubhūmi,Desert,"Dry, arid region."
Prāsāda,Palace,Royal residence.
Mandira,Temple,Sacred structure for worship.
Āśrama,Hermitage,Secluded place for spiritual practice.
Gṛha,House,Dwelling or home.
Kuṭīra,Hut,Small and simple shelter.
Guhā,Cave,Natural underground chamber.
Mārga,Road,Pathway or route.
Ratha,Chariot,Two- or four-wheeled ancient vehicle.
Vimāna,Airborne Vehicle,Flying chariot or aircraft.
Khadga,Sword,Bladed weapon.
Dhanus,Bow,Weapon for shooting arrows.
Bāṇa,Arrow,Projectile shot from a bow.
Cakra,Discus,Spinning circular weapon.
Gadā,Mace,"Blunt weapon, often spiked."
Tomara,Javelin,Thrown spear or missile.
Śūla,Spear,Long-shafted piercing weapon.
Kavaca,Shield,Defensive armor piece.
Kañcuka,Armor,Protective body gear.
Paraśu,Axe,Bladed tool/weapon.
Astra,Divine Weapon,"Supernatural weapon, often invoked."
Ābharaṇa,Ornament,Decorative jewelry.
Śaṅkha,Conch,Sacred spiral shell.
Vādya,Musical Instrument,Instrument used in music.
Nāṇa,Currency,Form of money or coin.
Kula,Clan,Extended family or lineage.
Jāti,Caste / Birth Group,Social grouping by birth.
Gaṇa,Tribe / Group,Assembly or community.
Ṛtu,Season,Climatic period of the year.
Saṁvatsara,Year,Vedic year cycle.
Māsa,Month,Lunar or solar month.
Tithi,Lunar Day,Phase in the moon's waxing/waning.
Pakṣa,Fortnight,Half of a lunar month.
Ayana,Solstice Cycle,Six-month movement of the sun.
Yuga,Epoch,Cosmic age or era.
Yoga,Astronomical Combination,Planetary conjunction.
Karaṇa,Half of Tithi,Subdivision of a lunar day.
Muhūrta,Moment / Auspicious Time,Small unit of time (about 48 minutes).
Lagna,Ascendant,Zodiac rising at time of birth.
Graha,Planet,Celestial influencer.
Nakṣatra,Lunar Mansion,One of 27 lunar constellations.
Rāśi,Zodiac Sign,Segment of the zodiac.
Dhuma-ketu,Comet,Celestial object with a tail.
Utsava,Festival,Celebratory event.
Pūjā,Worship,Ritual offering and prayer.
Yajña,Vedic Sacrifice,Sacred fire ritual.
Upacāra,Ritual Offering,Ceremonial gesture or item.
Saṁskāra,Life-Cycle Rite,Hindu ritual of life transition.
Aniścita,Undecided,Not yet determined.
Vṛkṣa,Tree,Large woody plant.
Guccha,Shrub,Small bushy plant.
Lata,Vine,Climbing or trailing plant.
Puṣpa,Flower,Blossom of a plant.
Phala,Fruit,Edible plant product.
Patra,Leaf,Green foliage part.
Stambha,Stem,Main structural plant part.
Tvak,Bark,Outer layer of tree.
Mūla,Root,Underground part of plant.
Pakṣī,Bird,Feathered flying animal.
Sarpa,Snake,Legless reptile.
