ID	QUESTION	ANSWER	CHOICES	context_0	gpt-4o
1001	तृणधान्यम् कस्य पर्यायः अस्ति	क्षुद्रधान्यम्	क्षुद्रधान्यम् / धान्यम् / शाकम् / व्रीहिधान्यम्	अग्निमन्थः श्वयथुनुद्वीर्योष्णः कफवातहृत्     पाण्डुनुत्कटुकस्तिक्तस्तुवरो मधुरोऽग्निदः ४.२४     श्योनाकः शोषणश्च स्यान्नटकट्वङ्गटुण्टुकाः     मण्डूकपर्णपत्रोर्णशुकनासकुटन्नटाः ४.२५     दीर्घवृन्तोऽरलुश्चापि पृथुशिम्बः कटम्भरः     श्योनाको दीपनः पाके कटुकस्तुवरो हिमः     ग्राही तिक्तोऽनिलश्लेष्मपित्तकासप्रणाशनः ४.२६     टुण्टुकस्य फलं बालं रूक्षं वातकफापहम् ४.२७     हृद्यं कषायं मधुरं रोचनं लघु दीपनम्     गुल्मार्शःकृमिहृत् प्रौढं गुरु वातप्रकोपणम् ४.२८     श्रीफलः सर्वतोभद्रा पाटला गणिकारिका     श्योनाकः पञ्चभिश्चैतैः पञ्चमूलं महन्मतम् ४.२९     पञ्चमूलं महत् तिक्तं कषायँ कफवातनुत्     मधुरं श्वासकासघ्नमुष्णं लघ्वग्निदीपनम् ४.३०     शालपर्णी स्थिरा सौम्या त्रिपर्णी पीवरी गुहा     विदारिगन्धा दीर्घाङ्गी दीर्घपत्रांऽशुमत्यपि ४.३१     शालपर्णी गुरुश्छर्दिज्वरश्वासातिसारजित् ४.३२     शोषदोषत्रयहरी बृंहण्युक्ता रसायनी     तिक्ता विषहरी स्वादुः क्षतकासकृमिप्रणुत् ४.३३     पृश्निपर्णी पृथक्पर्णी चित्रपर्ण्यहिपर्ण्यपि     क्रोष्टुविन्ना सिंहपुच्छी कलशी धावनिर्गुहा ४.३४	क्षुद्रधान्यम्
1002	कृष्णतण्डुलः कस्य पर्यायः अस्ति ? 	शालामुखः	कृष्णः / जतुमुखः / व्रीहि / शालामुखः	अग्निमन्थः श्वयथुनुद्वीर्योष्णः कफवातहृत्     पाण्डुनुत्कटुकस्तिक्तस्तुवरो मधुरोऽग्निदः ४.२४     श्योनाकः शोषणश्च स्यान्नटकट्वङ्गटुण्टुकाः     मण्डूकपर्णपत्रोर्णशुकनासकुटन्नटाः ४.२५     दीर्घवृन्तोऽरलुश्चापि पृथुशिम्बः कटम्भरः     श्योनाको दीपनः पाके कटुकस्तुवरो हिमः     ग्राही तिक्तोऽनिलश्लेष्मपित्तकासप्रणाशनः ४.२६     टुण्टुकस्य फलं बालं रूक्षं वातकफापहम् ४.२७     हृद्यं कषायं मधुरं रोचनं लघु दीपनम्     गुल्मार्शःकृमिहृत् प्रौढं गुरु वातप्रकोपणम् ४.२८     श्रीफलः सर्वतोभद्रा पाटला गणिकारिका     श्योनाकः पञ्चभिश्चैतैः पञ्चमूलं महन्मतम् ४.२९     पञ्चमूलं महत् तिक्तं कषायँ कफवातनुत्     मधुरं श्वासकासघ्नमुष्णं लघ्वग्निदीपनम् ४.३०     शालपर्णी स्थिरा सौम्या त्रिपर्णी पीवरी गुहा     विदारिगन्धा दीर्घाङ्गी दीर्घपत्रांऽशुमत्यपि ४.३१     शालपर्णी गुरुश्छर्दिज्वरश्वासातिसारजित् ४.३२     शोषदोषत्रयहरी बृंहण्युक्ता रसायनी     तिक्ता विषहरी स्वादुः क्षतकासकृमिप्रणुत् ४.३३     पृश्निपर्णी पृथक्पर्णी चित्रपर्ण्यहिपर्ण्यपि     क्रोष्टुविन्ना सिंहपुच्छी कलशी धावनिर्गुहा ४.३४	व्रीहि
1003	वनमुद्गः कस्य पर्यायः ? 	मकुष्ठकः	मुद्गः / माषः / क्षुद्रधान्यम् / मकुष्ठकः	अग्निमन्थः श्वयथुनुद्वीर्योष्णः कफवातहृत्     पाण्डुनुत्कटुकस्तिक्तस्तुवरो मधुरोऽग्निदः ४.२४     श्योनाकः शोषणश्च स्यान्नटकट्वङ्गटुण्टुकाः     मण्डूकपर्णपत्रोर्णशुकनासकुटन्नटाः ४.२५     दीर्घवृन्तोऽरलुश्चापि पृथुशिम्बः कटम्भरः     श्योनाको दीपनः पाके कटुकस्तुवरो हिमः     ग्राही तिक्तोऽनिलश्लेष्मपित्तकासप्रणाशनः ४.२६     टुण्टुकस्य फलं बालं रूक्षं वातकफापहम् ४.२७     हृद्यं कषायं मधुरं रोचनं लघु दीपनम्     गुल्मार्शःकृमिहृत् प्रौढं गुरु वातप्रकोपणम् ४.२८     श्रीफलः सर्वतोभद्रा पाटला गणिकारिका     श्योनाकः पञ्चभिश्चैतैः पञ्चमूलं महन्मतम् ४.२९     पञ्चमूलं महत् तिक्तं कषायँ कफवातनुत्     मधुरं श्वासकासघ्नमुष्णं लघ्वग्निदीपनम् ४.३०     शालपर्णी स्थिरा सौम्या त्रिपर्णी पीवरी गुहा     विदारिगन्धा दीर्घाङ्गी दीर्घपत्रांऽशुमत्यपि ४.३१     शालपर्णी गुरुश्छर्दिज्वरश्वासातिसारजित् ४.३२     शोषदोषत्रयहरी बृंहण्युक्ता रसायनी     तिक्ता विषहरी स्वादुः क्षतकासकृमिप्रणुत् ४.३३     पृश्निपर्णी पृथक्पर्णी चित्रपर्ण्यहिपर्ण्यपि     क्रोष्टुविन्ना सिंहपुच्छी कलशी धावनिर्गुहा ४.३४	मकुष्ठकः
1004	शालिधान्यस्य प्रकाराः के सन्ति	रक्तशालिः + कलमः + पाण्डुकः + शकुनाहृतः + सुगन्धकः + कर्दमकः + महाशालिः + दूषकः + पुष्पाण्डकः + पुण्डरीकः + महिषमस्तकः + दीर्घशूकः + काञ्चनकः + हायनः + लोध्रपुष्पक		माषपिष्टिकया लिप्तं नागवल्लीदलं महत् १२.६६     तत्तु संस्वेदयेद्युक्त्या स्थाल्यामास्तारकोपरि     ततो निष्कास्य तं खण्ड्यं ततस्तैलेन भर्जयेत् १२.६७     अलीकमत्स्य उक्तोऽय प्रकारः पाक पण्डितैः     तं वृन्ताक भटित्रेण वास्तूकेन च भक्षयेत् १२.६८     स्थाल्यां घृते वा तैले वा हरिद्रा ं! हिङ्गु भर्जयेत्     अवलेहनसंयुक्तं तक्रं तत्रैव निक्षिपेत्     एषा सिद्धा समरिचा क्वथिता कथिता बुधैः १२.६९     क्वथिता पाचनी रुच्या लघ्वी वह्निप्रदीपनी     कफानिलाविबन्धघ्नी किञ्चित्पित्तप्रकोपणी १२.७०     अलीकमत्स्याः शुष्का वा किं वा क्वथितया पुनः     बृंहणा रोचना वृष्या बल्या वातगदापहः १२.७१     कोष्ठशुद्धिकराः शुष्काः किञ्चित्पित्तप्रकोपणाः     अर्दिते सहनुस्तम्भे विशेषेण हिताः स्मृताः १२.७२     मुद्गपिष्टीविरचितान् वटकांस्तैलपाचितान्     हस्तेन चूर्णयेत्सम्यक् तस्मिंश्चूर्णं विनिक्षिपेत् १२.७३     भृष्टं हिङ्ग्वार्द्र कं सूक्ष्मं मरिचं जीरकं तथा     निम्बूरसं यवानीं च युक्त्या सर्वं विमिश्रयेत् १२.७४	"शालिधान्यस्य प्रकाराः के सन्ति इति प्रश्नस्य उत्तरं ""षड्विधाः"""
1005	धान्यस्य कति प्रकाराः उक्ताः	पञ्च		अग्निमन्थः श्वयथुनुद्वीर्योष्णः कफवातहृत्     पाण्डुनुत्कटुकस्तिक्तस्तुवरो मधुरोऽग्निदः ४.२४     श्योनाकः शोषणश्च स्यान्नटकट्वङ्गटुण्टुकाः     मण्डूकपर्णपत्रोर्णशुकनासकुटन्नटाः ४.२५     दीर्घवृन्तोऽरलुश्चापि पृथुशिम्बः कटम्भरः     श्योनाको दीपनः पाके कटुकस्तुवरो हिमः     ग्राही तिक्तोऽनिलश्लेष्मपित्तकासप्रणाशनः ४.२६     टुण्टुकस्य फलं बालं रूक्षं वातकफापहम् ४.२७     हृद्यं कषायं मधुरं रोचनं लघु दीपनम्     गुल्मार्शःकृमिहृत् प्रौढं गुरु वातप्रकोपणम् ४.२८     श्रीफलः सर्वतोभद्रा पाटला गणिकारिका     श्योनाकः पञ्चभिश्चैतैः पञ्चमूलं महन्मतम् ४.२९     पञ्चमूलं महत् तिक्तं कषायँ कफवातनुत्     मधुरं श्वासकासघ्नमुष्णं लघ्वग्निदीपनम् ४.३०     शालपर्णी स्थिरा सौम्या त्रिपर्णी पीवरी गुहा     विदारिगन्धा दीर्घाङ्गी दीर्घपत्रांऽशुमत्यपि ४.३१     शालपर्णी गुरुश्छर्दिज्वरश्वासातिसारजित् ४.३२     शोषदोषत्रयहरी बृंहण्युक्ता रसायनी     तिक्ता विषहरी स्वादुः क्षतकासकृमिप्रणुत् ४.३३     पृश्निपर्णी पृथक्पर्णी चित्रपर्ण्यहिपर्ण्यपि     क्रोष्टुविन्ना सिंहपुच्छी कलशी धावनिर्गुहा ४.३४	षट्
1006	धान्यस्य के प्रकाराः उक्ताः	शालिधान्यम् + व्रीहिधान्यम् + शूकधान्यम् + शिम्बिधान्यम् + क्षुद्रधान्यम्		पञ्चकोलं समरिचं षडूषणमुदाहृतम्     पञ्चकोलगुणं तत्तु रूक्षमुष्णं विषापहम् २.७४     यवानिकोग्रगन्धा च ब्रह्मदर्भाऽजमोदिका २.७५     सैवोक्ता दीप्यका दीप्या तथा स्याद्यवसाह्वया     यवानी पाचनी रुच्या तीक्ष्णोष्णा कटुका लघुः २.७६     दीपनी च तथा तिक्ता पित्तला शुक्रशूलहृत्     वातश्लेष्मोदरानाहगुल्मप्लीहकृमिप्रणुत् २.७७     अजमोदा खराश्वा च मायूरो दीप्यकस्तथा     तथा ब्रह्मकुशा प्रोक्ता कारवी लोचमस्तका २.७८     अजमोदा कटुस्तीक्ष्णा दीपनी कफवातनुत्     उष्णा विदाहिनी हृद्या वृष्या बलकरी लघुः     नेत्रामय कृमिच्छर्दिहिक्कावस्तिरुजो हरेत् २.७९     पारसीकयवानी तु यवानीसदृशी गुणैः     विशेषात्पाचनी रुच्या ग्राहिणी मादिनी गुरुः २.८०     जीरको जरणोऽजाजी कणा स्याद्दीर्घजीरकः २.८१     कृष्णजीरः सुगन्धश्च तथैवोद्गारशोधनः     कालाजाजी तु सुषवी कालिका चोपकालिका २.८२     पृथ्वीका कारवी पृथ्वी पृथुकृष्णोपकुञ्चिका     उपकुञ्ची च कुञ्ची च बृहज्जीरक इत्यपि २.८३     जीरकत्रितयं रूक्षं कटूष्णं दीपनं लघु     संग्राही पित्तलं मेध्यं गर्भाशयविशुद्धिकृत् २.८४	धान्यस्य प्रकाराः न उक्ताः
1007	शालामुखः कस्य प्रकारः अस्ति? 	व्रीहिधान्यम्	शालिधान्यम् / व्रीहिधान्यम् / शूकधान्यम् / शिम्बिधान्यम्	वह्निर्विषं मलं चेति मुख्या दोषास्त्रयो रसे     एते कुर्वन्ति सन्तापं मृतिं मूर्च्छां नृणां क्रमात् ८.९८     अन्येऽपि कथिता दोषा भिषग्भिः पारदे यदि     तथाऽप्येते त्रयो दोषाहरणीया विशेषतः ८.९९     संस्कारहीनं खलु सूतराजं यः सेवते तस्य करोति बाधाम्     देहस्य नाशं विदधाति नूनं कष्टांश्च रोगाञ्जनयेन्नराणाम् ८.१००     गन्धो हिङ्गुलमभ्रतालकशिलाः स्रोतोऽञ्जनं टङ्कणं     राजावर्तकचुम्बकौ स्फटिकया शङ्खः खटी गैरिकम्     कासीसं रसकं कपर्दसिकताबोलाश्च कुङ्कष्ठकं     सौराष्ट्री च मता अमी उपरसाः सूतस्य किञ्चिद्गुणैः ८.१०१     हिङ्गुलं दरदं म्लेच्छमिङ्गुलं चूर्णपारदम्     दरदस्त्रिविधः प्रोक्तश्चर्मारः शुकतुण्डकः ८.१०२     हंसपादस्तृतीयः स्याद् गुणवानुत्तरोत्तरम् ८.१०३     चर्मारः शुक्लवर्णः स्यात्स पीतः शुकतुण्डकः     जपाकुसुमसङ्काशो हंसपादो महोत्तमः ८.१०४     तिक्तं कषायं कटु हिङ्गुलं स्यान्नेत्रामयघ्नं कफपित्तहारि     हृल्लासकुष्ठज्वरकामलाश्च प्लीहामवातौ च गरं निहन्ति ८.१०५     उर्ध्वपातनयुक्त्या तु डमरुयंत्रपाचितम्     हिङ्गुलं तस्य सूतं तु शुद्धमेव न शोधयेत् ८.१०६	शूकधान्यम्
1008	मुद्गस्य कति भेदाः उक्ताः? 	पञ्च		अग्निमन्थः श्वयथुनुद्वीर्योष्णः कफवातहृत्     पाण्डुनुत्कटुकस्तिक्तस्तुवरो मधुरोऽग्निदः ४.२४     श्योनाकः शोषणश्च स्यान्नटकट्वङ्गटुण्टुकाः     मण्डूकपर्णपत्रोर्णशुकनासकुटन्नटाः ४.२५     दीर्घवृन्तोऽरलुश्चापि पृथुशिम्बः कटम्भरः     श्योनाको दीपनः पाके कटुकस्तुवरो हिमः     ग्राही तिक्तोऽनिलश्लेष्मपित्तकासप्रणाशनः ४.२६     टुण्टुकस्य फलं बालं रूक्षं वातकफापहम् ४.२७     हृद्यं कषायं मधुरं रोचनं लघु दीपनम्     गुल्मार्शःकृमिहृत् प्रौढं गुरु वातप्रकोपणम् ४.२८     श्रीफलः सर्वतोभद्रा पाटला गणिकारिका     श्योनाकः पञ्चभिश्चैतैः पञ्चमूलं महन्मतम् ४.२९     पञ्चमूलं महत् तिक्तं कषायँ कफवातनुत्     मधुरं श्वासकासघ्नमुष्णं लघ्वग्निदीपनम् ४.३०     शालपर्णी स्थिरा सौम्या त्रिपर्णी पीवरी गुहा     विदारिगन्धा दीर्घाङ्गी दीर्घपत्रांऽशुमत्यपि ४.३१     शालपर्णी गुरुश्छर्दिज्वरश्वासातिसारजित् ४.३२     शोषदोषत्रयहरी बृंहण्युक्ता रसायनी     तिक्ता विषहरी स्वादुः क्षतकासकृमिप्रणुत् ४.३३     पृश्निपर्णी पृथक्पर्णी चित्रपर्ण्यहिपर्ण्यपि     क्रोष्टुविन्ना सिंहपुच्छी कलशी धावनिर्गुहा ४.३४	त्रयः
1009	दग्धमृत्-जात-शाली शाली च अनयोः को भेदः?	शालिः स्निग्धा अस्ति, दग्धमृज्जातशालिः रूक्षा		अग्निमन्थः श्वयथुनुद्वीर्योष्णः कफवातहृत्     पाण्डुनुत्कटुकस्तिक्तस्तुवरो मधुरोऽग्निदः ४.२४     श्योनाकः शोषणश्च स्यान्नटकट्वङ्गटुण्टुकाः     मण्डूकपर्णपत्रोर्णशुकनासकुटन्नटाः ४.२५     दीर्घवृन्तोऽरलुश्चापि पृथुशिम्बः कटम्भरः     श्योनाको दीपनः पाके कटुकस्तुवरो हिमः     ग्राही तिक्तोऽनिलश्लेष्मपित्तकासप्रणाशनः ४.२६     टुण्टुकस्य फलं बालं रूक्षं वातकफापहम् ४.२७     हृद्यं कषायं मधुरं रोचनं लघु दीपनम्     गुल्मार्शःकृमिहृत् प्रौढं गुरु वातप्रकोपणम् ४.२८     श्रीफलः सर्वतोभद्रा पाटला गणिकारिका     श्योनाकः पञ्चभिश्चैतैः पञ्चमूलं महन्मतम् ४.२९     पञ्चमूलं महत् तिक्तं कषायँ कफवातनुत्     मधुरं श्वासकासघ्नमुष्णं लघ्वग्निदीपनम् ४.३०     शालपर्णी स्थिरा सौम्या त्रिपर्णी पीवरी गुहा     विदारिगन्धा दीर्घाङ्गी दीर्घपत्रांऽशुमत्यपि ४.३१     शालपर्णी गुरुश्छर्दिज्वरश्वासातिसारजित् ४.३२     शोषदोषत्रयहरी बृंहण्युक्ता रसायनी     तिक्ता विषहरी स्वादुः क्षतकासकृमिप्रणुत् ४.३३     पृश्निपर्णी पृथक्पर्णी चित्रपर्ण्यहिपर्ण्यपि     क्रोष्टुविन्ना सिंहपुच्छी कलशी धावनिर्गुहा ४.३४	दग्धमृत्-जात-शाली शाली च अनयोः भेदः अस्ति
1010	शालिधान्यस्य कः प्रकारः श्रेष्ठः ? 	रक्तशालिः		अग्निमन्थः श्वयथुनुद्वीर्योष्णः कफवातहृत्     पाण्डुनुत्कटुकस्तिक्तस्तुवरो मधुरोऽग्निदः ४.२४     श्योनाकः शोषणश्च स्यान्नटकट्वङ्गटुण्टुकाः     मण्डूकपर्णपत्रोर्णशुकनासकुटन्नटाः ४.२५     दीर्घवृन्तोऽरलुश्चापि पृथुशिम्बः कटम्भरः     श्योनाको दीपनः पाके कटुकस्तुवरो हिमः     ग्राही तिक्तोऽनिलश्लेष्मपित्तकासप्रणाशनः ४.२६     टुण्टुकस्य फलं बालं रूक्षं वातकफापहम् ४.२७     हृद्यं कषायं मधुरं रोचनं लघु दीपनम्     गुल्मार्शःकृमिहृत् प्रौढं गुरु वातप्रकोपणम् ४.२८     श्रीफलः सर्वतोभद्रा पाटला गणिकारिका     श्योनाकः पञ्चभिश्चैतैः पञ्चमूलं महन्मतम् ४.२९     पञ्चमूलं महत् तिक्तं कषायँ कफवातनुत्     मधुरं श्वासकासघ्नमुष्णं लघ्वग्निदीपनम् ४.३०     शालपर्णी स्थिरा सौम्या त्रिपर्णी पीवरी गुहा     विदारिगन्धा दीर्घाङ्गी दीर्घपत्रांऽशुमत्यपि ४.३१     शालपर्णी गुरुश्छर्दिज्वरश्वासातिसारजित् ४.३२     शोषदोषत्रयहरी बृंहण्युक्ता रसायनी     तिक्ता विषहरी स्वादुः क्षतकासकृमिप्रणुत् ४.३३     पृश्निपर्णी पृथक्पर्णी चित्रपर्ण्यहिपर्ण्यपि     क्रोष्टुविन्ना सिंहपुच्छी कलशी धावनिर्गुहा ४.३४	"शालिधान्यस्य श्रेष्ठः प्रकारः ""शालपर्णी"""
